Section Number,Section Title,Chapter Number,Chapter Title Long,Chapter Title Short
1.5,Atomic Theory: Scientific Method in Action,1,Matter and Energy: An Atomic Perspective,Matter and Energy
1.6,A Molecular View,1,Matter and Energy: An Atomic Perspective,Matter and Energy
1.8,Making Measurements and Expressing the Results,1,Matter and Energy: An Atomic Perspective,Matter and Energy
1.9,Unit Conversions and Dimensional Analysis,1,Matter and Energy: An Atomic Perspective,Matter and Energy
2.3,Navigating the Periodic Table,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules"
2.1,The Rutherford Model of Atomic Structure,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules"
2.2,Nuclides and Their Symbols,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules"
2.4,"Masses of Atoms, Ions, and Molecules",2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules"
2.5,Moles and Molar Masses,2,"Atoms, Ions, and Molecules: The Building Blocks of Matter","Atoms, Ions, and Molecules"
7.1,Chemical Reactions and the Conservation of Mass,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry
7.2,Balancing Chemical Equations,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry
7.4,Stoichiometirc Calculations and the Carbon Cycle,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry
7.8,Limiting Reactants and Percent Yield,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry
7.5,Percent composition and Empirical Formula,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry
3.1,Waves of Light,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.2,Atomic Spectra,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.4,The Hydrogen Spectrum and the Bohr Model,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.5,Electrons as Waves,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.6,Quantum Numbers,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.7,The sizes and Shapes of Atomic Orbitals,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.8,The Periodic Table and Filling Orbitals,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.9,Electron Configurations ,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.10,The Sizes of Atoms and Ions,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.11,Ionizations Energies,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
3.12,Electron Affinities,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure
4.1,Chemical Bonds,4,Chemical Bonding: Understanding Climate Change,Chemical Bonding
4.3,Lewis Symbols and Structures,4,Chemical Bonding: Understanding Climate Change,Chemical Bonding
4.2,Naming and Writing Formulas,4,Chemical Bonding: Understanding Climate Change,Chemical Bonding
4.4,Electronegativity: Unequal Sharing and Polar Bonds,4,Chemical Bonding: Understanding Climate Change,Chemical Bonding
