Learning Suite Quiz Number,Quiz #,Open Assessments ID,Title,Quiz URL,title,AyamelURL,url,ID,length,chapter,section,group,video,old video number,title,date,1,,class period,gilbert,optional,video # in semester,video # within group,newvideos,Section Number,Section Title,Chapter Number,Chapter Title Long,Chapter Title Short,Topic Course Schedule
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_9_law_of_definite_proportions,https://ayamel.byu.edu/course/350/content/2154/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_9bb.mp4,2154,157.501,1,1,1,9,9,law of definite proportions,9/3/15,1,,1,1.1-1.6,0,8,8,,Sections 1.5,Atomic Theory: Scientific Method in Action,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_10_individual_particles,https://ayamel.byu.edu/course/350/content/2155/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_10bb.mp4,2155,77.88,1,1,1,10,10,individual particles,9/3/15,1,0,1,1.1-1.6,0,9,9,,Sections 1.5,Atomic Theory: Scientific Method in Action,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_11_law_of_multiple_proportions,https://ayamel.byu.edu/course/350/content/2156/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_11bb.mp4,2156,199.344,1,1,1,11,11,law of multiple proportions,9/3/15,1,0,1,1.1-1.6,0,10,10,,Sections 1.5,Atomic Theory: Scientific Method in Action,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_12_the_atom,https://ayamel.byu.edu/course/350/content/2157/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_12bb.mp4,2157,141.712,1,1,1,12,12,the atom,9/3/15,1,0,1,1.1-1.6,0,11,11,,Sections 1.5,Atomic Theory: Scientific Method in Action,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_14_molecules_chemical_reactions,https://ayamel.byu.edu/course/350/content/2159/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_14bb.mp4,2159,101.379,1,1,1,14,14,molecules and chemical reactions,9/3/15,1,0,1,1.1-1.6,0,12,12,,Sections 1.6,A Molecular View,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
1,1,78,Quiz 1,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=78,1_1_15_chemical_reactions,https://ayamel.byu.edu/course/350/content/2160/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/1_1_15bb.mp4,2160,290.227,1,1,1,15,15,chemical reactions,9/3/15,1,0,1,1.1-1.6,0,13,13,,Sections 1.6,A Molecular View,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Introduction, Matter, Science"
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_1_units_measurement,https://ayamel.byu.edu/course/350/content/2170/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_1bb.mp4,2170,258.16,2,1,3,1,25,units and measurement,9/5/15,2,1,2,1.7-1.10,0,14,1,1,Sections 1.8,Making Measurements and Expressing the Results,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_2_si_system_metric_units,https://ayamel.byu.edu/course/350/content/2171/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_2bb.mp4,2171,422.232,2,1,3,2,26,si system and metric units,9/5/15,2,0,2,1.7-1.10,0,15,2,,Sections 1.8,Making Measurements and Expressing the Results,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_3_significant_figures,https://ayamel.byu.edu/course/350/content/2172/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_3bb.mp4,2172,325.962,2,1,3,3,27,significant figures,9/5/15,2,0,2,1.7-1.10,0,16,3,,Sections 1.8,Making Measurements and Expressing the Results,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
2,2,79,Quiz 2,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=79,2_1_4_calculations_with_significant_figures,https://ayamel.byu.edu/course/350/content/2173/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_1_4bb.mp4,2173,332.812,2,1,3,4,28,calculations with significant figures,9/5/15,2,0,2,1.7-1.10,0,17,4,,Sections 1.8,Making Measurements and Expressing the Results,1,Matter and Energy: An Atomic Perspective,Matter and Energy,"Measurements, Calculations"
