OA Quiz ID,Learning Suite Quiz Number,Quiz Number,Question Number,Type,Multiple Choice Options,
78,1,1,1,essay,,
78,1,1,2,short_answer,,
78,1,1,3,short_answer,,
78,1,1,4,short_answer,,
78,1,1,5,short_answer,,
78,1,1,6,short_answer,,
78,1,1,7,essay,,
78,1,1,8,short_answer,,
79,2,2,1,short_answer,,
79,2,2,2,short_answer,,
79,2,2,3,short_answer,,
79,2,2,4,short_answer,,
80,3,3,1,multiple_choice,4,1
80,3,3,2,essay,,
80,3,3,3,short_answer,,
80,3,3,4,short_answer,,
80,3,3,5,multiple_choice,4,1
80,3,3,6,short_answer,,
80,3,3,7,multiple_choice,4,1
80,3,3,8,multiple_choice,4,1
81,4,4,1,short_answer,,
81,4,4,2,short_answer,,
81,4,4,3,short_answer,,
81,4,4,4,short_answer,,
81,4,4,5,short_answer,,
81,4,4,6,short_answer,,
94,5,17,1,short_answer,,
94,5,17,2,short_answer,,
94,5,17,3,short_answer,,
94,5,17,4,short_answer,,
94,5,17,5,short_answer,,
94,5,17,6,short_answer,,
95,6,18,1,multiple_choice,4,1
95,6,18,2,multiple_choice,4,1
95,6,18,3,short_answer,,
95,6,18,4,short_answer,,
96,7,19,1,multiple_choice,4,1
96,7,19,2,multiple_choice,4,1
96,7,19,3,short_answer,,
97,8,20,1,short_answer,,
97,8,20,2,short_answer,,
97,8,20,3,short_answer,,
97,8,20,4,short_answer,,
97,8,20,5,short_answer,,
97,8,20,6,short_answer,,
97,8,20,7,short_answer,,
82,9,5,1,multiple_choice,4,1
82,9,5,2,multiple_choice,7,1
82,9,5,3,short_answer,,
82,9,5,4,short_answer,,
82,9,5,5,essay,,
83,10,6,1,multiple_choice,4,1
83,10,6,2,essay,,
83,10,6,3,multiple_choice,4,1
83,10,6,4,essay,,
83,10,6,5,short_answer,,
83,10,6,6,short_answer,,
83,10,6,7,short_answer,,
83,10,6,8,short_answer,,
84,11,7,1,multiple_choice,4,1
84,11,7,2,multiple_choice,4,1
84,11,7,3,multiple_choice,4,1
84,11,7,4,multiple_choice,4,1
84,11,7,5,short_answer,,
